ID;Corpus;TextGenre_OrdMerge3;TextGenre_OrdMerge2;TextGenre_OrdMerge;TextGenre_Ordinal;TextGenre;Subj_Length;Animacy;Accessibility;TypeOfAnaphor;Constructions;Corpus_ID;Sentence
s_26;SpokenCorpora;1;2;2;4;NonFreeConv.;2;Umano;Old;Old_rel;sembrare+infinitive;LIP;* eh nella terza parte divisa in due paragrafi si giungono ad affermare i primi paradossi dell' infinito eh con Zenone il quale sembra affermare l' impossibilita' del moto ma vuole invece eh ridurre all' assurdo la tesi dei pitagorici che componevano il continuo composto di atomi punti eh di dimensione finita si arriva adesso all' infinito eh al paradosso dell' infinito attuale nel quale eh si afferma eh che una parte puo' essere uguale al tutto cioe' in pratica si afferma che l' infinito attuale puo' essere uguale eh puo' essere uguale a quello potenziale questa e' una cosa assolutamente impossibile infatti non per niente e' un paradosso perche' se l' infinito attuale fosse uguale a quello potenziale prima cosa il potenziale eh l' infinito potenziale non esiterebbe seconda di poi non ci sarebbe bisogno di suddividerli con due nomi completamente diversi la parte quarta eh divisa in cinque e' divisa in cinque paragrafi all' interno dei quali si riesce a $ a classificare con $ Cantor il transfinito Cantor enuncia un paradosso dichiarante che l' intero spazio contiene eh tanti punti tanti quelli di un segmento eh piccolo quanto si voglia scelto a nostro piacere allora spieghiamo questa definizione allora se prendiamo un cubo da una parte il cubo puo' essere accrescibile # da un suo lato fino a formare una retta dall' altra eh fino a occupare l' intero spazio dall' altra il lato del cubo puo' essere prolungabile all' infinito e eh costituire una retta quindi questa retta eh se cioe' se da questa retta un segmento un segmento piccolo quanto si voglia eh secondo Cantor il # i numeri di punti contenuti in questo segmento sono equivalenti a quelli dell' intero spazio # aiuto in successivamente eh un' altra novita' e' costituita eh da questa che i numeri eh naturali sono una piccola parte dell' infinito attuale perche' eh nell' infinito potenziale eh fanno parte i numeri reali i numeri negativi i numeri razionali ed altri per cui si conferma l' idea cantoriana ad un infinito intermedio ah vale a dire di un infinito che assoluto che che e' attuale e non solo potenziale ma che tuttavia e' accrescibile e quindi non e' assoluto # grazie a questa affermazione si ha la possibilita' di sciogliere alcune importanti antinomie antinomie
s_27;SpokenCorpora;1;2;2;4;NonFreeConv.;1;Umano;Old;Old_general;mi sembra che;LIP;ha finito allora mi sembra che io vedi su tante questioni di merito naturalmente non posso entrarci
s_28;SpokenCorpora;1;2;2;4;NonFreeConv.;1;Animato;Old;Old_ident;sembrare+infinitive;LIP;stoicismo sembrerebbe sembrerebbe dire con la scintilla divina che anche quando uno muore la scintilla divina rimane viva insomma eh *
s_29;SpokenCorpora;1;2;2;4;NonFreeConv.;0;Non Animato;;;sembra che;LIP;* ah e invece qua sembra proprio che sia un fatto
s_30;SpokenCorpora;1;2;2;4;NonFreeConv.;1;Umano;Old;Old_ident;mi sembra che;LIP;* mh cioe' mi sembra che e' vero che lui non fa parte di una comunita' strettissima com' era quella dei greci quindi li giudica piu' da un punto di vista piu' distaccato pero' e' anche vero che eh lui rispetta
s_31;SpokenCorpora;1;2;2;4;NonFreeConv.;2;Umano;Old;Old_ident;sembra che;KIParla;PTB021| si vedevano di buon occhio // ah si' // perche'  sembrava  che il meridionale venisse su a prendere il 
s_32;SpokenCorpora;1;2;2;4;NonFreeConv.;0;Umano;Old;Old_general;sembra che;KIParla;PTB007| // e allora capitava che // eh // magari s  sembrava  che non sapesse niente // e ehm // ma non avevo una 
s_33;SpokenCorpora;3;4;4;6;MonologicSp.;1;Non Animato;Old;Old_generic;sembra che;LIP; # non staro' a dire che il costo del venduto e' rimanenze iniziali piu' acquisti e meno rimanenze finali non solo per certe fattispecie si presenta addirittura un indice di rotazione tenendo conto della media delle rimanenze iniziali e finali anche questo rende sempre piu' significativi questi parametri e a questo punto sembrerebbe che tutto fosse roseo e perfetto cioe' i parametri sono migliorati sono piu' rappresentativi della realta' possono individuare meglio certe situazioni #
s_34;SpokenCorpora;1;2;2;3;Radio/TVSp.;2;Animato;Mediated;Mediated_sit;mi sembra che;LIP;che mi sembra che la squadra tutto sommato stia anche esprimendo un buon calcio pero' c' e' eh questo questa sfortuna che vi perseguita direi da un po' di tempo in qua
s_35;SpokenCorpora;1;2;2;3;Radio/TVSp.;3;Non Animato;Mediated;Mediated_general;mi sembra che;LIP;Firenze amarla e viverla ed essere fiero dei suoi colori per questo come i casati nobili hanno il sangue blu i fiorentini hanno il sangue viola Ugo Poggi consigliere della fiorentina mi sembra che sia un fase accentrata la societa' che si rinnova
s_36;SpokenCorpora;1;2;2;3;Radio/TVSp.;2;Non Animato;Mediated;Mediated_general;mi sembra che;LIP;ecco sotto l' aspetto dell' immagine la Fiorentina l' aveva perduta bisogna essere chiari e ora la sta recuperando perche' ci sono bellissime iniziative a parte l' apertura di questo $ ma poi iniziative anche in favore eh in favore umanitario poi ci sono le iniziative che avete intrapreso portando allo stadio molti studenti anche delle societa' dilettantistiche mi sembra in sostanza che si sia mosso un po' la situazione anche nei rapporti con eh i vicini
s_37;SpokenCorpora;1;2;2;3;Radio/TVSp.;5;Umano;New;New;mi sembra che;LIP;ecco io so gia' quello che tu mi risponderai ti dico che le le squadre tu lo sai benissimo perche' sei anche presidente della Rondinella si iniziano a fare a marzo e mi sembra che eh chi ha diretto i lavori abbia gia' iniziato a lavorare con il piede giusto per la prossima stagione
s_38;SpokenCorpora;1;2;2;4;NonFreeConv.;0;Umano;Old;Old_ident;mi sembra che;KIParla;PTB001| la f la prima poi siamo andati avanti adesso // mi  sembra  che sono arrivati // io ho lasciato otto anni fa 
s_39;SpokenCorpora;3;4;4;6;MonologicSp.;0;Animato;Old;Old_ident;sembra che;KIParla;BOD1001| e' il di vu di eh il di vu di c' e' // da feltrinelli  sembra  che ce l' abbiano // costa dieci euro // vediamo 
s_40;SpokenCorpora;1;2;2;3;Radio/TVSp.;0;Umano;Old;Old_ident;mi sembra che;LIP; * mamma mia mettiamo la cosa va be' ci sono sempre dei delle allora oggi ci hanno portato sentiamo c' e' quel brano nuovo guarda Pino se chiama un uomo c' e' quello nuovo che eh volevo sentire eh dopo in nel prosieguo # tante volte e' un disco mi dai un momento cosi' si si guarda esattamente chi e' la il eh il tipo l' artista e' un un una nuovissima uscita ed e' un cantante Marco Benvenuti Marco Benvenuti # dalla fotografia abbiamo e' uno eh che fuma e con il cappello di paglia in testa quindi non possiamo dire di piu' # Marco Benvenuti che canta io tu lui guardiamo eh # # # ah ecco questo e' anche autore e' anche autore insieme a ad Amore # Amore e' un altro Amore e' un altro autore Massimo Amore mi sembra si chiami Maurizio Amore Mario Amore non mi ricordo il nome di di Massimo Amore si' Massimo Amore # e il e il Marco Benvenuti e' un artista che ovviamente ha inciso questo disco no guarda da chi l' ha inciso da Roberto Rosati Bob Rose quindi e' una vecchia conoscenza e il cerchio si stringe Firenze musicale sta prendendo sta prendendo la sua rivincita finalmente dopo dopo anni cosi' di torpore sono usciti l' anno scorso prepotentemente Marco Masini e quest' anno Paolo Vallesi e adesso auguriamo anche a questo Marco Benvenuti del quale andiamo a ascoltare io tu lui auguriamo tutto il bene possibile futuro vi ricordo che siete all' ascolto di Radio Firenze Radio Incontri sei otto zero tre due zero sei otto zero tre tre tre *
s_41;SpokenCorpora;1;2;2;3;Radio/TVSp.;2;Umano;Old;Old_ident;sembrare+infinitive;LIP; e quindi si continua a giocare sul cinque a quattro per la formazione pratese con Santuz che chiama dalla seconda linea Kiossev 'sta volta il muro e' preciso * e anche il pubblico di casa ad incitare la Siap c' e' un altro muro per Kiossev 'sta volta si Sergei Gribov sembra avere aggiustato la mira a muro della Centromatic dopo aver eh dopo esser andato a vuoto diverse volte nel corso del secondo e del terzo set adesso e' un gran muro di eh Sergei Gribov a dare il decimo punto alla Centromatic che * $ la Centromatic l' attacco di Kiossev che va a girare nel campo avversario con una difesa della Centromatic 'sta volta messa fuori posizione con Daniele Vittori che era andato in una zona di campo dove praticamente non poteva coprire nessuna spazio di eh nessuno spazio quadratico per l' attacco del Siap adesso pero' un ottimo palleggio di seconda in tensione del palleggiatore improvvisato chiamiamolo cosi' Marco Corella da' il cambio palla alla Centromatic che sta continuando a sorprendere anche nella prestazione del proprio giocatore Marco Corella che si sta distinguendo molto bene in nel ruolo di palleggiatore andando talvolta a concludere anche degli schemi articolati adesso un gran bordata di Kunda la palla che si $ sulla difesa di Cangini ma termina poi out direttamente dall' altra parte del campo dal rettangolo fuori dal rettangolo di gioco del Siap di Brescia c' e' quindi il cambio palla sempre tredici a sei per i pratesi Siap in prima linea con Kunda Pedino e Santuz l' attacco di *
s_42;SpokenCorpora;1;2;2;3;Radio/TVSp.;0;Umano;Old;Old_ident;mi sembra che;LIP;piu' che di Lazzaroni la colpa prima secondo me e' di chi ha fatto venire il Lazzaroni cioe' prendere un allenatore straniero in un momento particolare questa e' stata la prima responsabilita' dare tutte le colpe a Lazzaroni credo che non sia giusto nel senso che e' arrivato eh spaesato e non conosceva niente non conosceva l' ambiente a Firenze ed e' giusto che che deva aver pagato lo scotto come lo pagano i giocatori no * cioe' intanto ecco siamo al girone di ritorno # e mi sembra che continui a eh perseverare negli errori e allora ecco che sono un po' preoccupato cioe' io non e' per dare eh la croce addosso a Lazzaroni sicuramente pero' e' un e' uno dei ha le sue responsabilita' questo e' discutibile insomma in ogni formazione che ha fatto in ogni sostituzione che ha fatto eh voglio dire e' da pazzi sotto gli occhi di tutti insomma ecco naturalmente ripeto eh ha moltissime eh giustificazioni ha moltissime eh motivi di discolpa pero' siamo al girone di ritorno quindi dovrebbe ormai aver inquadrato bene la situazione per fortuna vedo che sono un paio di domeniche che manda in campo la solita formazione
s_43;SpokenCorpora;1;1;1;2;FreeConv.;0;Non Animato;Old;Old_ident;mi sembra che;LIP;ma eh mi sembra che sia un paccone
s_44;SpokenCorpora;1;1;1;2;FreeConv.;1;Umano;Old;Old_ident;sembra che;LIP;comunque lui diceva eh $ sembrava che fosse rimasto molto colpito perche' ha detto che era bello era bellissimo
s_45;SpokenCorpora;1;1;1;2;FreeConv.;1;Non Animato;Old;Old_event;mi sembra che;LIP;* ma mi sembra che anche questo come lavoro sia uno bello sbattimentino
s_46;SpokenCorpora;1;1;1;2;FreeConv.;2;Non Animato;Mediated;Mediated_sit;mi sembra che;LIP;* ma il testo mi sembra che # che non cambi molto
s_47;SpokenCorpora;1;1;1;2;FreeConv.;2;Non Animato;Mediated;Mediated_general;mi sembra che;LIP;* qui mi sembra che ci siano stati dei cambiamenti rileggiamolo un momentino # e vediamo se mai #
s_48;SpokenCorpora;3;4;4;6;MonologicSp.;2;Non Animato;New;New;sembra che;KIParla;BOD1007| del database in una logica del software dove  sembra  che la tecnica sia l' elemento piu' importante 
s_49;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_ident;mi sembra che;LIP;semplicemente mi sembrava che sprecassero soldi insomma venivano fino a febbraio per ballare e poi si faceva saggio e basta # e eh allora ho detto facciamo una lezione aperta al pubblico # in modo che voi fate le cose che abbiamo fatto durante l' anno non dobbiamo fermarci per imparare cose particolari e chi vuole si porta un pubblico da casa eh puo' essere la mamma piuttosto che eccetera non so
s_50;SpokenCorpora;1;1;1;2;FreeConv.;2;Non Animato;Old;Old_ident;mi sembra che;LIP;si' che c' e' $ # # adesso noi facciamo cosi' # # $ $ gli faro' rifare la pellicola oppure # vedro' se da Firenze non mi mandano al diavolo per rifare un solo per cento # ecco mi raccomando se ti sembra che la correzione non sia tanto visibile visibile perche' magari cosi' bene # # sovrapposta alla precedente
s_51;SpokenCorpora;1;1;1;1;TelephoneConv.;0;Umano;Old;Old_ident;mi sembra che;LIP;no no eh mi sembra che facesse delle parti imparate a memoria in milanese perche' non mi risulta che sia milanese lui
s_52;SpokenCorpora;1;2;2;4;NonFreeConv.;0;Non Animato;Old;Old_ident;mi sembra che;KIParla;PTD004| dora // ci hanno aperto un sacco di locali // mi  sembra  che sia uno dei quartieri piu' in cambiamento 
s_53;SpokenCorpora;1;2;2;4;NonFreeConv.;4;Animato;New;New;mi sembra che;KIParla;PTD004| quindi sentendo racconti delle persone // mi  sembra  che ci siano un sacco di associazioni // che 
s_54;SpokenCorpora;1;1;1;1;TelephoneConv.;6;Non Animato;New;New;mi sembra che;LIP;senti volevo dirti che ho parlato col capo per quel fatto del libro dell' aereonautica no * e mi sembra che non sia male l' idea di fare un servizio solo che bisognerebbe farlo in modo un po' articolato capisci *
s_55;SpokenCorpora;1;1;1;1;TelephoneConv.;1;Non Animato;Old;Old_ident;mi sembra che;LIP;e va be' ho capito pero' d' altra parte faccio faccio un BOT a questo punto no * eh * se fosse cosi' * perche' mi sembra che questa e' una sorta di una tantum sui depositi
s_56;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_general;mi sembra che;KIParla;BOA1001| // qual e' lo scopo // si' // l' altra volta mi  sembrava  // che // avevamo parlato di // eh mh // indagare 
s_57;SpokenCorpora;1;1;1;2;FreeConv.;2;Non Animato;New;New;mi sembra che;KIParla;BOA1001| sono sono informazioni rilevanti per non mi  sembra  ci siano dei lavori // pero' sempre su singoli 
s_58;SpokenCorpora;1;2;2;4;NonFreeConv.;0;Non Animato;Old;Old_ident;sembrare+infinitive;LIP;ringrazio il signor presidente io ho chiesto la parola innanzitutto per rilevare un dato di fatto che secondo $ $ $ quest' ordine del giorno della Malpensa e' stato presentato quindici giorni fa al momento di eh andare in votazione la maggioranza del consiglio era assente e quindi c' e' stato $ $ in questo caso del consiglio provinciale certo che davanti ai fatti drammatici che si sono verificati per quindici giorni cioe' dalla dalla $ dell' ordine del giorno oggi il fatto che non sia stato piu' riconvocato $ il consiglio provinciale e' un fatto criticabile di mancanza secondo la nostra opinione di sensibilita' davanti al massacro che si stava perpetrando in quella zona del golfo persico ora sappiamo che sembra aver passato $ $ il fuoco necessario ma comunque credo che problemi del golfo per la vicenda restano ancora in piedi compreso quello della Malpensa avevano presentato questo esercito di Saddam Hussein come il quarto esercito del mondo quasi averlo paragonato all' esercito tedesco del Fuan ora $ abbiamo visto dapprima con Mao Tse Tung no * che si trattava di una tigre di carta che non era necessario evidentemente andare ad una guerra a guerreggiare come e' stato fatto dove era necessario andare al massacro che e' stato compiuto quando $ a continuare come farlo e noi queste cose le diciamo perche' sappiamo che da parte di alcuni si inficia addirittura che l' Italia non ha partecipato come doveva partecipare a questa operazione militare sappiamo $ perche' c' e' dietro dal presidente della repubblica e un numero di magistrati che ha chiesto il rispetto decretato costituzionale e per quello che ci riguarda critichiamo fermamente le posizioni del presidente della repubblica che ci rivolgono qualche senatore americano che voleva appunto la discriminazione in quel caso americano o ci riportano le leggi $ della Germania dell' ovest nei confronti di chi non la pensava come il potere certo # che # la guerra speriamo si $ pero' il linguaggio a cui $ per esempio il juke box di questa terra un apparecchio invisibile si dice che costa come una linea della metropolitana che si potrebbe costruire nella nostra citta' nella nostra provincia tra l' altro # noi # per dire che sbagliano quelli che criticano i pacifisti per dire che sbagliano quelli che dicono che noi dovevamo partecipare piu' attivamente sul piano militare abbiamo dei problemi avremo dei problemi dal punto di vista economico perche' la nostra economia io credo che tutti sappiate benissimo che non puo' venire $ $ ne' negli Stati Uniti ne' nelle nelle nazioni piu' progredite $ $ sul piano del $ sul piano noi dobbiamo fare i conti con il nuovo anno che sta all' altra sponda della verita' quindi ecco da dove nasce l' errore della nostra politica militare in quella zona ecco da dove nasce l' errore di calcolo che e' stato fatto da chi ha voluto per forza questa guerra anche se fossero convinti che potevano evitare che Saddam avrebbe ceduto comunque anche con lo $ per arrivare alla questione signor presidente della Malpensa e' stato detto fin ieri $ $ del presidente della SEA e io ho sottoposto al presidente della SEA l' esigenza di andare a modificare quell' articolo quei due articoli della convenzione che oggi sono la SEA a mettere a disposizione i mezzi militari gli spazi negli aereoporti da parte del presidente della SEA e' stato risposto che questa era una cosa impossibile percio' $ che fosse impossibile $ che non bisogna mai dire mai perche' se qualcuno comunque e' partito il presidente della SEA e quindi io credo che su questa questione noi dovremmo ritornarci dovremmo ritornarci perche' vogliamo che il governo abbia la nostra $ giustamente a modificare quegli articoli per cui un aereporto civile deve essere un aereoporto civile e che se ci sono delle scelte militari si facciano negli aereoporti militari e quand' anche per un' altra cosa $ $ $ che $ avuto un posto per quello che riguarda la SEA anche perche' il traffico che mette certamente in crisi le prospettive dello stesso bilancio della $ $ ebbene noi recriminiamo che bisogna fare un' azione e quest' azione preferiamo che sia presente anche la provincia di Milano perche' ci sia un riposo sulle perdite economiche che si sono avute con queste vicende a parte la questione del della caduta li' del viaggio in aereo per $ $ ma c' e' stata una caduta per questi motivi tipicamente antimilitari quindi e' giusto che ci sia un rimborso dove pronti a pagare siano la provincia di Milano il comune di Milano $ della nostra provincia ma deve essere il governo che quelle quelle esigenze militari per gli aerei degli Stati Uniti d' America quindi noi chiediamo che si faccia un' azione da parte del presidente della $ a sostegno dell' azione che dovrebbero $ prendere la SEA perche' si abbia $ $ $ e io credo di interpretare $ $ il pensiero di molti del consiglio provinciale nel dire speriamo che veramente dia cessate il fuoco che sia cessato il massacro della popolazione $ irachena e anche dei miltari che sono anche loro delle vittime innocenti delle guerre e che si bada a trovare delle prospettive di pace per tutta quella zona $
s_59;SpokenCorpora;1;2;2;4;NonFreeConv.;0;Non Animato;Old;Old_event;sembra che;LIP;pero' dall' analisi che abbiamo fatto sembra che sia una delle cause di maggior incidenza quindi # $ $ dei volantini %
s_60;SpokenCorpora;3;4;4;6;MonologicSp.;0;Umano;Old;Old_ident;sembra che;KIParla;TOD1015| dice come michelet invento' il rinascimento //  sembra  che voglia sottendere che il rinascimento non 
s_61;SpokenCorpora;1;2;2;4;NonFreeConv.;2;Non Animato;Mediated;Mediated_sit;mi sembra che;LIP;va be' d' accordo eh anche perche' perche' ad esempio io ho letto dei giornali oggi eh tipo il Corriere della sera e Repubblica che sono la stragrande tiratura e ci sono delle cose folli cioe' $ $ secondo loro il movimento sta scemando sta $ le scuole hanno finito l' occupazione a me non sembra che ci sia questa volonta' di continuare a lottare sicuramente sta a noi trovare le proposte giuste trovare il giusto modo di lottare senza anche rispettando chi vuole perche' a me han detto di tanti qui al primo anno rispetto alla guerra pero' c' e' gente che invece vuole anche senza $ vuole pero' finire il programma scolastico in pace a questo punto veramente sta a noi trovare il modo di portare avanti la nostra $ e ieri al Manzoni si era parlato di varie proposte tra cui blocchi stradali e ferroviari oh % pero' giustamente $ diceva che per occupare un determinato che potrebbe essere che so un' ora piuttosto che due una strada piuttosto che una stazione o addirittura l' aeroporto contando anche che ci sono le forze le cosiddette forze dell' ordine che vigilano # bisogna anche rendersi conto anche di quanta gente possa fare i $ o portare $ $ $ per cui intanto io inviterei tutti a fare un cosi' un' indagine nella propria scuola per capire quanto gente e' veramente e' interessata cosi' vorrei sapere cosa ne pensate voi anche perche' ripeto $ che ha parlato per esempio di Cadorna e di stazione Garibaldi io eh ho tirato fuori questo problema che eh occupare al mattino # non ha piu' senso perche' perche' nel senso che cioe' bisogna occupare in un orario di punta per far per riuscire ad avere un certo con un certo riscontro da dal punto di vista anche dalla stampa occuparlo al mattino cioe' alle otto e' una cosa rischiosa perche' molti studenti che magari parteciperebbero volentieri sono sul treno che stanno venendo da fuori Milano $ $ per cui sarebbe una cosa che va al di la' della nostra $ $ $ pero' a questo punto bisogna veramente rendersi conto di quanta gente viene perche' io ieri sera sono andato al presidio che c' era dell' OLP davanti alla al distretto militare di $ e veramente eravamo in tre non ha senso fare una cosa del genere oppure ci fa fare veramente la gente in piazza e poi non ha senso nemmeno andare li' con diciottomila cellerini che ti guardano storto $ $ $ io veramente io vorrei sapere nelle scuole quanto gente gli viene difficile cappottare * in problemi del genere nella mia sicuramente poca pero' in scuole piu' sveglie che magari % eccetera eccetera io vorrei sapere quanta gente Lettere potrebbe portare in piazza %
s_62;SpokenCorpora;1;2;2;4;NonFreeConv.;;;;;sembra che;LIP;io volevo aggiungere solo brevemente eh $ abbiamo avuto l' esigenza l' esigenza di arrivare eh # a un intervento politico eh piu' preciso in tutti i momenti istituzionali che sono presenti nella scuola * ecco ad esempio questo disagio che attualmente eh sono in piedi sono in piedi le istituzioni tipo collegio # * tipo comitati di $ tipo interventi volontari in assemblee studentesche eh manca quello che e' sempre stato il patrimonio dei lavoratori della scuola cioe' un momento politico precedente che erano le convocazioni delle dei $ sindacali delle delle assemblee dei lavoratori eh sembra insomma che si arrivi ad esempio al collegio con delle mozioni per forza eh smussate perche' non c' e' stato comunque un dibattito politico precedente e quindi per forza poi di cose ci si scontra a livello di collegio comunque non si arriva con un dibattito politico eh ben preciso # eh dico questo perche' io appartenendo eh a al personale ATA che questo momento eh al Molinari e anche in altre scuole si e' visto come in tutti i momenti cosi' importanti della vita politica eh la grossa fetta dei lavoratori non ha un abito istituzionale dove eh partecipare politicamente # quindi eh ci sembrava questa un' occasione per rilanciare in tutte le scuole di appartenenza un dibattito politico che preceda poi tutte quelle che sono eh quelli che sono i momenti istituzionali quindi questa precisione per dire che c' e' un momento politico esterno e interno e esterno eh # noi pensavamo a di confluire comunque a uno sciopero generale ma anche all' interno di creare dei momenti in cui tutte le componenti del mondo della scuola studenti personale docente personale ATA abbiano un momento comune di confronto eh e solo in questi momenti io penso $ a quelle posizioni piu' estremiste abbiano il diritto di eh venire fuori poi se dal dibattito certamente ci saranno mediazioni politiche saranno queste poi a eh uscire all' esterno pero' in mancanza di questo momento precedente ci sembra insomma # molta piazza a qualsiasi iniziativa individuale insomma # fine *
